session_id,node_id,t_m,x_m_x,x_m_y,anchor_id,attempt_id,gamma_m,w_m,y_star,y_hat,ready,turn_ok,node_fail,err_plan_at_tm
1,1,15.0,2.0,1.0,1,1,0.4,1.0,L,L,1,1,0,0.2721501803486789
1,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
1,3,45.0,14.0,1.0,1,2,0.4,1.0,S,UNK,0,0,1,
2,1,15.0,2.0,1.0,1,1,0.4,1.0,L,UNK,0,0,1,
2,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
2,3,45.0,14.0,1.0,1,2,0.4,1.0,S,UNK,0,0,1,
3,1,15.0,2.0,1.0,1,1,0.4,1.0,L,L,1,1,0,0.28335775694497284
3,2,30.0,8.0,1.0,2,1,0.35,1.0,R,R,1,1,0,0.3198622099637255
3,3,45.0,14.0,1.0,1,2,0.4,1.0,S,S,1,1,0,0.21335214977159178
4,1,15.0,2.0,1.0,1,1,0.4,1.0,L,UNK,0,0,1,
4,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
4,3,45.0,14.0,1.0,1,2,0.4,1.0,S,UNK,0,0,1,
5,1,15.0,2.0,1.0,1,1,0.4,1.0,L,L,1,1,0,0.2519914081444648
5,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
5,3,45.0,14.0,1.0,1,2,0.4,1.0,S,UNK,0,0,1,
6,1,15.0,2.0,1.0,1,1,0.4,1.0,L,UNK,0,0,1,
6,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
6,3,45.0,14.0,1.0,1,2,0.4,1.0,S,UNK,0,0,1,
7,1,15.0,2.0,1.0,1,1,0.4,1.0,L,UNK,0,0,1,
7,2,30.0,8.0,1.0,2,1,0.35,1.0,R,R,1,1,0,0.243061768826985
7,3,45.0,14.0,1.0,1,2,0.4,1.0,S,UNK,0,0,1,
8,1,15.0,2.0,1.0,1,1,0.4,1.0,L,L,1,1,0,0.19923229853000826
8,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
8,3,45.0,14.0,1.0,1,2,0.4,1.0,S,S,1,1,0,0.1401732887328146
9,1,15.0,2.0,1.0,1,1,0.4,1.0,L,UNK,0,0,1,
9,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
9,3,45.0,14.0,1.0,1,2,0.4,1.0,S,L,1,0,1,0.42327723973601616
10,1,15.0,2.0,1.0,1,1,0.4,1.0,L,UNK,0,0,1,
10,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
10,3,45.0,14.0,1.0,1,2,0.4,1.0,S,UNK,0,0,1,
11,1,15.0,2.0,1.0,1,1,0.4,1.0,L,L,1,1,0,0.1560396058185322
11,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
11,3,45.0,14.0,1.0,1,2,0.4,1.0,S,S,1,1,0,0.2946112319423305
12,1,15.0,2.0,1.0,1,1,0.4,1.0,L,L,1,1,0,0.16815963874637815
12,2,30.0,8.0,1.0,2,1,0.35,1.0,R,UNK,0,0,1,
12,3,45.0,14.0,1.0,1,2,0.4,1.0,S,S,1,1,0,0.28220448473171733
