session_test,tau_min,delta_tau_min,alpha_step,beta_ci,N_neg_train,x_FA_train,UB_FA_train,P_accept_pos_train,N_neg_test,x_FA_test,FA_rate_test,P_accept_pos_test,ok
1,0.8,0.15,0.09999999999999999,0.05,30,0.0,0.09503385285530411,0.5116279069767442,3,0.0,0.0,0.25,да
2,0.8,0.15,0.09999999999999999,0.05,31,0.0,0.0921140599473237,0.4878048780487805,2,0.0,0.0,0.5,да
3,0.8,0.15,0.09999999999999999,0.05,33,0.0,0.08678118929147494,0.425,0,0.0,,0.8571428571428571,да
4,0.8,0.15,0.09999999999999999,0.05,30,0.0,0.09503385285530411,0.5116279069767442,3,0.0,0.0,0.25,да
5,0.8,0.15,0.09999999999999999,0.05,31,0.0,0.0921140599473237,0.5116279069767442,2,0.0,0.0,0.25,да
6,0.8,0.15,0.09999999999999999,0.05,29,0.0,0.09814462767729572,0.4888888888888889,4,0.0,0.0,0.5,да
7,0.8,0.15,0.09999999999999999,0.05,30,0.0,0.09503385285530411,0.5,3,0.0,0.0,0.3333333333333333,да
8,,,0.09999999999999999,0.05,28,,,,5,,,,нет
9,0.8,0.15,0.09999999999999999,0.05,31,0.0,0.0921140599473237,0.4883720930232558,2,0.0,0.0,0.5,да
10,0.8,0.15,0.09999999999999999,0.05,31,0.0,0.0921140599473237,0.5116279069767442,2,0.0,0.0,0.25,да
11,,,0.09999999999999999,0.05,28,,,,5,,,,нет
12,0.8,0.15,0.09999999999999999,0.05,31,0.0,0.0921140599473237,0.5,2,0.0,0.0,0.3333333333333333,да
